File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J150_T30_R60_B10_W2_S86_N6.txt,10,150,34,2,695,536,22.88,600.09
Ins_V5_J50_T10_R60_B10_W4_S122_N2.txt,5,50,13,4,391,391,0.00,9.39
Ins_V2_J100_T30_R60_B10_W1_S202_N2.txt,2,100,38,1,2280,2280,0.00,52.63
Ins_V5_J50_T20_R60_B10_W4_S130_N0.txt,5,50,20,4,401,401,0.00,7.02
Ins_V10_J50_T10_R60_B10_W2_S150_N0.txt,10,50,10,2,92,92,0.00,21.32
Ins_V2_J150_T10_R60_B10_W4_S2_N2.txt,2,150,12,4,2975,2975,0.00,414.18
Ins_V10_J100_T10_R60_B10_W1_S248_N8.txt,10,100,14,1,159,159,0.00,49.08
Ins_V5_J100_T20_R60_B10_W1_S220_N0.txt,5,100,23,1,568,568,0.00,72.68
Ins_V10_J50_T10_R60_B10_W4_S154_N4.txt,10,50,11,4,154,153,0.65,600.37
Ins_V5_J150_T10_R60_B10_W2_S32_N2.txt,5,150,11,2,775,666,14.06,600.22
Ins_V5_J150_T30_R60_B10_W4_S57_N7.txt,5,150,40,4,2031,1995,1.77,600.11
Ins_V2_J50_T20_R60_B10_W2_S101_N1.txt,2,50,23,2,987,987,0.00,8.79
Ins_V10_J100_T10_R60_B10_W4_S245_N5.txt,10,100,11,4,336,324,3.57,600.15
Ins_V2_J100_T20_R60_B10_W2_S190_N0.txt,2,100,27,2,2204,2204,0.00,93.74
Ins_V5_J100_T10_R60_B10_W1_S212_N2.txt,5,100,12,1,349,349,0.00,40.30
Ins_V2_J150_T30_R60_B10_W1_S21_N1.txt,2,150,41,1,3634,3634,0.00,157.10
Ins_V10_J50_T30_R60_B10_W1_S179_N9.txt,10,50,39,1,196,196,0.00,0.60
Ins_V2_J100_T20_R60_B10_W4_S191_N1.txt,2,100,26,4,2680,2680,0.00,148.92
Ins_V10_J100_T20_R60_B10_W1_S256_N6.txt,10,100,24,1,262,262,0.00,87.31
Ins_V10_J50_T20_R60_B10_W4_S160_N0.txt,10,50,25,4,205,205,0.00,131.54
Ins_V5_J150_T10_R60_B10_W1_S38_N8.txt,5,150,12,1,571,571,0.00,267.79
Ins_V10_J100_T30_R60_B10_W2_S261_N1.txt,10,100,36,2,464,455,1.94,600.15
Ins_V5_J150_T20_R60_B10_W4_S47_N7.txt,5,150,25,4,1653,1617,2.18,600.11
Ins_V5_J50_T30_R60_B10_W1_S149_N9.txt,5,50,37,1,397,397,0.00,5.90
Ins_V2_J150_T20_R60_B10_W1_S10_N0.txt,2,150,24,1,2421,2421,0.00,282.72
Ins_V5_J50_T30_R60_B10_W2_S146_N6.txt,5,50,42,2,530,530,0.00,62.77
Ins_V5_J50_T30_R60_B10_W4_S149_N9.txt,5,50,37,3,553,553,0.00,81.62
Ins_V2_J100_T30_R60_B10_W4_S207_N7.txt,2,100,39,4,3308,3308,0.00,215.17
Ins_V2_J100_T30_R60_B10_W2_S205_N5.txt,2,100,37,2,2610,2610,0.00,98.35
Ins_V10_J100_T10_R60_B10_W2_S242_N2.txt,10,100,12,2,221,221,0.00,581.57
Ins_V10_J100_T10_R60_B10_W4_S248_N8.txt,10,100,14,4,365,333,8.77,600.17
Ins_V10_J50_T10_R60_B10_W1_S153_N3.txt,10,50,11,1,56,56,0.00,0.37
Ins_V2_J150_T10_R60_B10_W2_S5_N5.txt,2,150,12,2,2112,2112,0.00,389.71
Ins_V5_J100_T30_R60_B10_W1_S231_N1.txt,5,100,39,1,877,877,0.00,223.38
Ins_V5_J100_T30_R60_B10_W2_S239_N9.txt,5,100,37,2,994,993,0.10,600.17
Ins_V10_J100_T10_R60_B10_W4_S244_N4.txt,10,100,12,4,358,342,4.47,600.18
Ins_V5_J50_T20_R60_B10_W1_S133_N3.txt,5,50,26,1,300,300,0.00,5.05
Ins_V5_J100_T20_R60_B10_W1_S228_N8.txt,5,100,25,1,600,600,0.00,57.48
Ins_V10_J50_T30_R60_B10_W2_S176_N6.txt,10,50,32,2,186,186,0.00,48.89
Ins_V10_J50_T10_R60_B10_W1_S158_N8.txt,10,50,12,1,61,61,0.00,0.34
Ins_V2_J100_T30_R60_B10_W2_S206_N6.txt,2,100,39,2,2775,2775,0.00,159.55
Ins_V5_J50_T30_R60_B10_W2_S144_N4.txt,5,50,31,2,409,408,0.24,600.92
Ins_V2_J150_T30_R60_B10_W2_S26_N6.txt,2,150,39,2,4072,4072,0.00,278.38
Ins_V5_J150_T30_R60_B10_W1_S53_N3.txt,5,150,37,1,1332,1332,0.00,263.29
Ins_V5_J150_T20_R60_B10_W2_S43_N3.txt,5,150,23,2,1155,803,30.48,600.12
Ins_V2_J100_T30_R60_B10_W2_S207_N7.txt,2,100,39,2,2648,2648,0.00,243.94
Ins_V2_J50_T10_R60_B10_W4_S91_N1.txt,2,50,13,4,1065,1065,0.00,11.91
Ins_V2_J150_T20_R60_B10_W4_S19_N9.txt,2,150,24,4,3797,3767,0.79,600.12
Ins_V5_J50_T20_R60_B10_W2_S132_N2.txt,5,50,29,2,381,381,0.00,7.91
Ins_V2_J50_T10_R60_B10_W2_S91_N1.txt,2,50,13,2,645,645,0.00,3.40
Ins_V2_J150_T30_R60_B10_W2_S21_N1.txt,2,150,41,2,4234,3364,20.55,600.06
Ins_V2_J50_T20_R60_B10_W1_S107_N7.txt,2,50,28,1,822,822,0.00,4.76
Ins_V2_J50_T20_R60_B10_W2_S103_N3.txt,2,50,27,2,1006,1006,0.00,12.46
Ins_V5_J150_T30_R60_B10_W4_S56_N6.txt,5,150,41,4,2053,1920,6.48,600.13
Ins_V10_J150_T30_R60_B10_W4_S87_N7.txt,10,150,35,4,915,891,2.62,600.20
Ins_V10_J100_T20_R60_B10_W2_S252_N2.txt,10,100,28,2,383,377,1.57,600.18
Ins_V2_J150_T20_R60_B10_W2_S13_N3.txt,2,150,24,2,2980,2980,0.00,576.26
Ins_V5_J50_T30_R60_B10_W4_S141_N1.txt,5,50,35,4,570,570,0.00,3.92
Ins_V5_J50_T20_R60_B10_W1_S136_N6.txt,5,50,27,1,299,299,0.00,4.77
Ins_V10_J150_T30_R60_B10_W1_S80_N0.txt,10,150,34,1,574,563,1.92,600.10
Ins_V2_J100_T30_R60_B10_W4_S208_N8.txt,2,100,40,4,3340,3340,0.00,75.80
